APP_FUNCTION_REPORT total=259 appBytes=1075472
APP_FUNCTION AppInner bytes=51186 start=1023400
APP_FUNCTION AdminReportsPage bytes=31174 start=973538
APP_FUNCTION NearbyPetPage bytes=28212 start=846924
APP_FUNCTION AboutPage bytes=13961 start=831109
APP_FUNCTION HomePage bytes=12639 start=878582
APP_FUNCTION PetMusicPage bytes=12313 start=940918
APP_FUNCTION OnboardingPage bytes=8911 start=469241
APP_FUNCTION SajuPage bytes=8863 start=745004
APP_FUNCTION PetNewsPage bytes=8805 start=963974
APP_FUNCTION LandingPage bytes=8255 start=821104
APP_FUNCTION PostDetail bytes=7560 start=918630
APP_FUNCTION AdminMusicPanel bytes=7043 start=953233
APP_FUNCTION PostComposer bytes=6732 start=906846
APP_FUNCTION InfoGuidePage bytes=6632 start=897021
APP_FUNCTION CommunityFeed bytes=6013 start=926192
APP_FUNCTION ResultPage bytes=5947 start=802313
APP_FUNCTION LoginScreen bytes=5810 start=239276
APP_FUNCTION AccountModal bytes=5407 start=249234
APP_FUNCTION PetBtiResultView bytes=5094 start=789959
APP_FUNCTION TipsPage bytes=4911 start=715854
APP_FUNCTION MyPage bytes=4730 start=1011306
APP_FUNCTION PhotoTile bytes=4045 start=493861
APP_FUNCTION PrivacyPage bytes=4009 start=234611
APP_FUNCTION SajuInputForm bytes=3841 start=732586
APP_FUNCTION SupportPage bytes=3657 start=960278
APP_FUNCTION PetBtiPage bytes=3451 start=795234
APP_FUNCTION SajuResultView bytes=3321 start=741681
APP_FUNCTION GrowthChartCard bytes=3225 start=479437
APP_FUNCTION UnifiedMenuHero bytes=3141 start=875439
APP_FUNCTION AdInquiryPage bytes=3139 start=937776
APP_FUNCTION ShareCardModal bytes=2914 start=517485
APP_FUNCTION MyActivityPage bytes=2857 start=932207
APP_FUNCTION TipCard bytes=2666 start=713186
APP_FUNCTION renderSajuShareCard bytes=2631 start=736435
APP_FUNCTION PhotoAlbum bytes=2597 start=500341
APP_FUNCTION renderShareCard bytes=2593 start=514640
APP_FUNCTION renderPetBtiShareCard bytes=2591 start=785403
APP_FUNCTION PetPointDashboard bytes=2490 start=1005293
APP_FUNCTION InfoAccordion bytes=2443 start=504692
APP_FUNCTION BreedCombobox bytes=2365 start=465338
APP_FUNCTION HamburgerMenu bytes=2301 start=245653
APP_FUNCTION CommunityPage bytes=2298 start=1017737
APP_FUNCTION ReportModal bytes=2265 start=914731
APP_FUNCTION RecordList bytes=2184 start=485829
APP_FUNCTION generatePetBtiResult bytes=2101 start=780994
APP_FUNCTION PetContentPage bytes=2043 start=893588
APP_FUNCTION SajuShareModal bytes=2017 start=739662
APP_FUNCTION RecordForm bytes=1987 start=483840
APP_FUNCTION BreedInfoModal bytes=1974 start=510430
APP_FUNCTION PetBtiShareModal bytes=1961 start=787996
APP_FUNCTION AddPhotoCard bytes=1935 start=491924
APP_FUNCTION SlideshowModal bytes=1845 start=498065
APP_FUNCTION LegalContent bytes=1836 start=232165
APP_FUNCTION generateSajuResult bytes=1763 start=730821
APP_FUNCTION PetBtiQuestionFlow bytes=1725 start=783670
APP_FUNCTION VaccineChecklist bytes=1693 start=512571
APP_FUNCTION GuideModal bytes=1655 start=191495
APP_FUNCTION NotificationBell bytes=1642 start=256427
APP_FUNCTION CommentItem bytes=1630 start=916998
APP_FUNCTION AccountActivityHub bytes=1616 start=1009688
